Module,File,Function/Method,Line Number,Model Affected,Operation Type,Current Execution Path,Creates PendingApproval,Bypasses Approval Engine,Risk Level,Recommended Refactor,Dependencies,Estimated Impact
inventory,inventory/admin.py,save,89,,Save (Create/Update),"return cleaned_data ||  ||     def save(self, commit=True): ||         instance = super().save(commit=False) ||         password = self.cleaned_data.get('password') or '' ||         if password:",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/admin.py,save,94,var:instance,Save (Create/Update),if password: ||             instance.password = make_password(password) ||         if commit: ||             instance.save() ||         return instance,No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/admin.py,save_model,144,CourierProfile,Create,"courier_profile.vehicle_number = vehicle_number ||             courier_profile.full_name = obj.get_full_name() or obj.username ||             courier_profile.email = obj.email or '' ||             courier_profile.save(update_fields=['vehicle_number', 'full_name', 'email']) ||         else: ||             CourierProfile.objects.create(",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/admin.py,save_model,146,CourierProfile,Create,"courier_profile.email = obj.email or '' ||             courier_profile.save(update_fields=['vehicle_number', 'full_name', 'email']) ||         else: ||             CourierProfile.objects.create( ||                 user=obj, ||                 courier_id=f'CR-{uuid.uuid4().hex[:8].upper()}',",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/admin_bank_branch.py,export_selected_branches,97,var:workbook,Save (Create/Update),"branch.created_at, ||                 branch.updated_at, ||             ]) ||         workbook.save(output) ||         output.seek(0) ||         response = HttpResponse(output.getvalue(), content_type='application/vnd.openxmlformats-officedocument/spreadsheetml.sheet')",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/admin_bank_branch.py,download_template_view,176,var:workbook,Save (Create/Update),"header_font = Font(bold=True) ||         for cell in sheet[1]: ||             cell.font = header_font ||         workbook.save(output) ||         output.seek(0) ||         response = HttpResponse(output.getvalue(), content_type='application/vnd.openxmlformats-officedocument.spreadsheetml.sheet')",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/admin_bank_branch.py,export_excel_view,205,var:workbook,Save (Create/Update),"branch.created_at, ||                 branch.updated_at, ||             ]) ||         workbook.save(output) ||         output.seek(0) ||         response = HttpResponse(output.getvalue(), content_type='application/vnd.openxmlformats-officedocument.spreadsheetml.sheet')",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/admin_bank_branch.py,_apply_import,294,BankBranch,Create/Update,"failed = 0 ||         for row in preview['rows']: ||             try: ||                 branch, created_flag = BankBranch.objects.update_or_create( ||                     branch_code=row['branch_code'], ||                     defaults={",No,Yes,High,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,High
inventory,inventory/admin_bank_branch.py,_apply_import,312,BranchImportLog,Create,"failed += 1 ||                 skipped += 1 ||  ||         log = BranchImportLog.objects.create( ||             filename=preview.get('filename', 'imported_from_admin.xlsx'), ||             uploaded_by=user,",No,Yes,High,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,High
inventory,inventory/apps.py,feature_seed,131,var:role,Save (Create/Update),role.sort_order = role_def['sort_order'] ||                 updates.append('sort_order') ||             if updates: ||                 role.save(update_fields=updates) ||  ||         feature_objects = {},No,Yes,Critical,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,High
inventory,inventory/apps.py,feature_seed,135,Feature,Create/Update,"feature_objects = {} ||         for feature_def in base_features: ||             feature, _ = Feature.objects.update_or_create( ||                 feature_key=feature_def['feature_key'], ||                 defaults=feature_def,",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/apps.py,feature_seed,149,RoleFeature,Create/Update,"feature = feature_objects.get(feature_key) ||                 if not feature: ||                     continue ||                 RoleFeature.objects.update_or_create( ||                     role=role, ||                     feature=feature,",No,Yes,Critical,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,High
inventory,inventory/authentication.py,_log_auth_failure,22,AuditLog,Create,"def _log_auth_failure(self, request, reason): ||         path = request.path if hasattr(request, 'path') else '' ||         ip_address = self._get_client_ip(request) ||         AuditLog.objects.create( ||             name='Authentication Failed', ||             action=f'{request.method} {path}',",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",AuditLog,Medium
inventory,inventory/forms.py,__init__,24,,Bulk Update,"def __init__(self, *args, **kwargs): ||         super().__init__(*args, **kwargs) ||         self.fields['email'].widget.attrs.update({'class': 'form-control', 'placeholder': 'Enter your email', 'required': True}) ||         self.fields['email'].label = 'Email address'",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/forms.py,save,384,,Save (Create/Update),"return new_status ||  ||     def save(self, commit=True): ||         tape = super().save(commit=False) ||         if not tape.barcode: ||             tape.barcode = tape.generate_barcode()",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/forms.py,save,388,var:tape,Save (Create/Update),if not tape.barcode: ||             tape.barcode = tape.generate_barcode() ||         if commit: ||             tape.save() ||         return tape,No,Yes,Critical,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,High
inventory,inventory/middleware.py,process_request,26,var:session,Save (Create/Update),"request.session.pop('_auth_user_id', None) ||             request.session.pop('_auth_user_backend', None) ||             request.session.pop('_auth_user_hash', None) ||             request.session.save()",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/middleware.py,process_response,45,AuditLog,Create,"username = getattr(user, 'username', None) ||             duration_ms = int((time.perf_counter() - getattr(request, '_audit_start_time', time.perf_counter())) * 1000) ||             ip_address = request.META.get('REMOTE_ADDR', 'unknown') ||             AuditLog.objects.create( ||                 name='API Access', ||                 action=f'{request.method} {path}',",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",AuditLog,Medium
inventory,inventory/models.py,save,215,,Save (Create/Update),"def save(self, *args, **kwargs): ||         if not self.slug: ||             self.slug = self.dashboard_key ||         super().save(*args, **kwargs) ||  ||     def __str__(self):",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/models.py,save,476,,Save (Create/Update),"if reasons: ||                 raise ValidationError(self.get_scratch_rejection_message(self.status, reasons)) ||  ||         super().save(*args, **kwargs) ||  ||     def __str__(self):",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/models.py,update_progress,623,var:self,Save (Create/Update),"self.scan_started_at = timezone.now() ||         if self.progress_percent == 100 and not self.scan_completed_at: ||             self.scan_completed_at = timezone.now() ||         self.save(update_fields=['total_tapes_expected', 'total_tapes_scanned', 'progress_percent', 'scan_started_at', 'scan_completed_at']) ||  ||     @property",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/models.py,save,670,,Save (Create/Update),"def save(self, *args, **kwargs): ||         if self.tape and not self.barcode: ||             self.barcode = self.tape.barcode ||         super().save(*args, **kwargs) ||  ||     def __str__(self):",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/models.py,save,954,,Save (Create/Update),"ordering = ['-shipment_date', '-created_at'] ||  ||     def save(self, *args, **kwargs): ||         super().save(*args, **kwargs) ||  ||     def __str__(self):",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
